2022 San Francisco Chronicle Wine Competition Medal Winners Sorted by Winery,,,,,,,,
Winery,State,Category Name,Vintage,AVA,Vineyard,Variety,Price,Award
Alta Orsa,CA,Cab Sauv - $42.00 - $45.99,2018,Mendocino County,Cabernet Sauvignon,Estate Reserve,$45.00 ,Silver
Alta Orsa,CA,Packaging: Minimal,2018,Mendocino County,Hillside Cuvee,,$32.00 ,Silver
Altipiano Vineyard and Winery,CA,Petite Sirah - $46.00 and Over,2018,California,Petite Sirah,Amardo County,$54.00 ,Gold
Altipiano Vineyard and Winery,CA,Red Blend: Sangiovese leading blend,2018,San Diego County,Due Amici,San Pasqual,$63.00 ,Silver
Altipiano Vineyard and Winery,CA,Sangiovese - $35.00 and Over,2018,California,Sangiovese,San Diego County and Deaver Vineyards,$60.00 ,Silver
Altipiano Vineyard and Winery,CA,Barbera - $35.00 and Over,2018,San Diego County,Barbera,,$58.00 ,Bronze
Amador Cellars,CA,Barbera - Up to - $34.99,2019,Amador County,Barbera,Fields Family Vineyard,$32.00 ,Best of Class
Amador Cellars,CA,Other White Varietals,2020,Amador County,Fiano,Breitmeyer Vineyard,$28.00 ,Double Gold
Amador Cellars,CA,Red Blend: Zinfandel leading blend - $25.00 and Over,2018,Amador County,Farmhouse Red Blend,,$28.00 ,Gold
Amador Cellars,CA,Barbera - Up to - $34.99,2018,Amador County,Barbera,,$29.00 ,Silver
Amador Cellars,CA,Montepulciano,2019,Amador County,Montepulciano,Oleta Vineyard,$36.00 ,Silver
Amador Cellars,CA,Primitivo,2019,Amador County,Primitivo,Breitmeyer Vineyard,$34.00 ,Silver
Amador Cellars,CA,Zinfandel - $26.00 - $28.99,2017,Amador County,Zinfandel,Unfined & Unfiltered,$28.00 ,Silver
Amador Cellars,CA,Zinfandel - $26.00 - $28.99,2018,Amador County,Zinfandel,,$28.00 ,Silver
Amador Cellars,CA,Tempranillo - Up to - $34.99,2017,Amador County,Tempranillo,Unfined Unfiltered,$32.00 ,Bronze
Amarose,CA,Dry Rose/Blush - RS .001 - .099,2020,Lodi,Rose,Amarose,$25.00 ,Bronze
Amelia Wynn Winery,WA,Cab Franc - $40.00 and Over,2019,Red Mountain,Cabernet Franc,,$45.00 ,Silver
Amelia Wynn Winery,WA,Syrah/Shiraz - $44.00 and Over,2019,Walla Walla Valley,Syrah,,$46.00 ,Silver
Amelia Wynn Winery,WA,Marsanne,2020,Yakima Valley,Marsanne,,$25.00 ,Bronze
Ammons Horn,CA,Pinot Noir - $40.00 - $43.99,2019,Carneros,Pinot Noir,Clone 667,$42.00 ,Best of Class
Ammons Horn,CA,Pinot Noir - $40.00 - $43.99,2019,Carneros,Pinot Noir,Clone 777,$42.00 ,Gold
Ammons Horn,CA,Pinot Noir- $58.00 - $66.99,2019,Carneros,Pinot Noir,,$62.00 ,Gold
Ammons Horn,CA,Dry Rose/Blush - RS 0,2020,Carneros,Rose of Pinot Noir,,$24.00 ,Bronze
Amphora,CA,Syrah/Shiraz - $44.00 and Over,2017,Sonoma County,Syrah,,$45.00 ,Double Gold
Amphora,CA,Cab Franc - $40.00 and Over,2018,Dry Creek Valley,Cabernet Franc,,$50.00 ,Silver
Amphora,CA,Grenache - $35.00 and Over,2018,Dry Creek Valley,Grenache,Aged in Tuscan Clay Amphorae,$36.00 ,Silver
Amulet Estate,CA,Cab Sauv - $90.00 and Over,2018,Rutherford,Cabernet Sauvignon,Beckstoffer Vineyard Georges III,$175.00 ,Silver
Amulet Estate,CA,Red Blend: Cab Sauv leading blend - $45.00 - $55.99,2019,Napa Valley,Mad Hatter Red,,$50.00 ,Silver
Anam Cara Cellars,OR,Pinot Noir - $28.00 - $31.99,2020,Chehalem Mountains,Pinot Noir,Willamette Valley,$31.00 ,Silver
Angels & Cowboys,CA,Rose Sparkling,NV,California,Brut Rose,,$24.99 ,Double Gold
Angels & Cowboys,CA,Dry Rose/Blush - RS .1 - .299,2021,Sonoma,Rose,,$15.99 ,Gold
Angels & Cowboys,CA,Packaging: Minimal,2019,Sonoma,Proprietary Red,,$21.99 ,Gold
Angels & Cowboys,CA,Red Blend: Zinfandel leading blend - Up to - $24.99,2019,Sonoma,Proprietary Red,,$21.99 ,Gold
Angels & Cowboys,CA,Brut,NV,California,Brut,,$22.99 ,Silver
Angels & Cowboys,CA,Packaging: Series,NV,California,Brut,,$22.99 ,Silver
Angels Ink,CA,Pinot Noir - $24.00 - $27.99,2020,Central Coast,Pinot Noir,,$25.00 ,Best of Class
Anthony & Dominic,CA,Pinot Noir - $36.00 - $39.99,2019,Napa Valley,Pinot Noir,Carneros,$36.00 ,Double Gold
Anthony & Dominic,CA,Chardonnay - $29.00 - $32.99,2019,Carneros,Chardonnay,Castellucci Vineyard,$30.00 ,Silver
Anthony & Dominic,CA,Pinot Noir - $20.00 - $23.99,2019,North Coast,Pinot Noir,,$20.00 ,Bronze
Apothic,CA,Cab Sauv - $13.00 - $15.99,2019,California,Cabernet Sauvignon,,$14.00 ,Silver
Apothic,CA,Pinot Noir - Up to - $14.99,2020,California,Pinot Noir,,$14.00 ,Silver
Apothic,CA,All Other Red Blends: Up to - $22.99,2019,California,Red Blend,,$14.00 ,Bronze
Apothic,CA,Merlot - Up to - $14.99,2019,California,Merlot,,$14.00 ,Bronze
Appellations Cellar,CA,Petite Sirah - Up to - $27.99,2018,California,Petite Sirah,,$24.99 ,Gold
Appellations Cellar,CA,Cab Sauv - $16.00 - $18.99,2019,California,Cabernet Sauvignon,,$18.99 ,Silver
Appellations Cellar,CA,Carignan/Carignane,2016,Lodi,Carignane,Centenarians Reserve,$45.00 ,Silver
Appellations Cellar,CA,Gewurztraminer - Up to - $19.99,2019,California,Gewurztraminer,,$19.99 ,Silver
Appellations Cellar,CA,Sauvignon Blanc/Fume - $26.00 and Over,2020,St. Helena,Sauvignon Blanc,,$28.00 ,Silver
Archgate Cellars,CA,Zinfandel - $17.00 - $22.99,2019,Lodi,Zinfandel,,$18.00 ,Silver
Archimedes,CA,Cab Sauv - $90.00 and Over,2018,Alexander Valley,Cabernet Sauvignon,Archimedes,$120.00 ,Silver
Arcturos,MI,Gewurztraminer - Up to - $19.99,2019,Leelanau Peninsula,Gewurztraminer,,$16.00 ,Silver
Arcturos,MI,Pinot Blanc,2020,Old Mission Peninsula,Pinot Blanc,,$16.00 ,Silver
Arcturos,MI,Dry Rose/Blush Blend - RS 0,2020,Old Mission Peninsula,Pinot Noir Blanc,,$18.00 ,Bronze
Arcturos,MI,Riesling - Dry <.99 RS,2020,Michigan,Dry Riesling,,$16.50 ,Bronze
Arete,OR,Chardonnay - $33.00 - $35.99,2018,Willamette Valley,Chardonnay,,$34.99 ,Double Gold
Aristotle,CA,Petite Sirah - Up to - $27.99,2020,Monterey County,Petite Sirah,,$12.99 ,Silver
Arius,CA,Chardonnay - $14.00 - $15.99,2020,California,Chardonnay,,$14.99 ,Silver
Arizona Hops and Vines,AZ,Distilled/Fortified,2018,Sonoita,Zinfandel,Fortified,$30.00 ,Silver
Arizona Hops and Vines,AZ,Red Blend: Grenache leading blend - $30.00 and Over,2018,Sonoita,Red Blend,,$30.00 ,Silver
Arizona Hops and Vines,AZ,Grenache - Up to - $34.99,2018,Sonoita,Grenache,Unfiltered,$30.00 ,Bronze
Arndt Cellars,CA,Cab Sauv - $42.00 - $45.99,2017,Paso Robles,Cabernet Sauvignon,,$42.00 ,Gold
Arndt Cellars,CA,Grenache - $35.00 and Over,2019,Paso Robles,Grenache,Circle B Vineyard,$38.00 ,Silver
Arrington Vineyards,TN,Chardonnay - $23.00 - $25.99,2020,American,Chardonnay,,$24.99 ,Double Gold
Arrington Vineyards,TN,Sauvignon Blanc/Fume - $16.00 - $19.99,2020,American,Sauvignon Blanc,Kinzley Reserve,$19.99 ,Double Gold
Arrington Vineyards,TN,Merlot - $27.00 - $30.99,2019,American,Merlot,Russell,$29.99 ,Gold
